danji_id,danji_name,age,sex,residenceType,married,totalScore,totalDesc,trafficScore,trafficDesc,aroundScore,aroundDesc,careScore,careDesc,residentScore,residentDesc
5584,명륜아남3단지,40대,여자,전세 또는 월세,기혼,5,교통좋고ᆞ 대학로 문화시설좋고ᆞ 초중고학교 가깝고 좋고ᆞ 물가 안비싸고ᆞ집값은 좀 비싸지만  다른 여건에 비해 그리 비싸지 않음ᆞ 층간소음 괜잖은듯ᆢ물론 이웃을 잘 만나야겠죠,5,혜화역 도보 5분ᆞ종로 강남가는 버스 도보 3분거리ᆞ 북쪽으로 가는 버스는 다 있습니다ᆞ교통 엄청 편리,5,마트 도보 1분이내에 있고ᆞ중견마트 도보 5분이내ᆞ삼청동둘레길ᆢ성북동길ᆢ창경궁ᆢ도보 5분ㅡ10분이내에 있어요,5,주차관리 잘되고 단지 깨끗 ᆞ경비아저씨들 단지 관리 잘하시고 주상복합이지만 못 느낄정도로 좋음,4,대로변이라 창문열면 좀 시끄러운건 있음  전반적으로 깨끗 깔끔 대학로 문뫄시설 아주솧음
5584,명륜아남3단지,20대,여자,자가 거주,미혼,3,이 아파트를 주변사람들에게 추천할 만 하다. 가까이에 활기가 넘치는 대학로도 있고 연극도 자주하고 다른 곳과의 교통도 편리해서 살기에는 최적인 굿 같다. 아파트 가격이 다른 곳에 비해 저렴한지는 잘 모르겠으나 층간소음이 적고 도로변의 자동차소리도 많이 나지 않기 때문이 3점을 주었다.,3,강남까지 30분이면 가고 신촌에 있는 학교까지 빠를 땐 15분 보통 20분 정도 걸리는 최고의 지역에 위치해있습니다. 수서역도 34분이면 가는 등 교통의 요지입니다. 집 근처에도 버스 정류장이 있어서 아주 편리합니다. 혜화인 만큼 연극도 자주 볼 수 있고 cgv도 가까워서 문화생활하기도 좋습니다.,3,일단 집 바로 근처의 아파트 단지에 홈플러스익스프레스가 있어서 웬만한 식자재는 여기서 구입할 수 있다. 또 샌드위치나 치아바타 김밥 등을 파는 가게들이 걸어서 5분이내에 위치하고 있어 매우 편리하다. 집앞에서 좀 더 걸어가면 낙산공원도 있어서 밤에 야경도 볼 수 있고 반대방향으로 걸어가면 마로니에 공원도 있어서 자전거를 탈 수도 있다. 공기도 맑은 편이다.,3,공용 현관의 비밀번호를 자주 바꿔서 외부인이 들어올 가능성이 낮고 잡상인의 출입도 자연스레 금지돼서 안전하다. 택배를 경비 아저씨가 한 곳에 보관하다보니 잃어버릴 가능성이 낮고 또 안전하다. 관리비도 저렴한 편이고 그럭저럭   만족하는 편이다.,3,베란다가 넓게 트여있지 않아 외풍도 적게 들어와서 여름에는 따로 에어컨을 틀어야하는 번거로움이 있지만 시원한 편이어서 선풍기로도 충분하다. 하지만 이는 찬바람이 부는 겨울에는 장점이 되어 난방을 자주 오래 틀지않아도 그렇게 실내가 춥지 않아서 관리비가 적게 나온다.
5584,명륜아남3단지,20대,남자,전세 또는 월세,미혼,5,아남아파트의 장점은 역시 대학로에 인접해있다는 거다. 대학로에 붙어있다 보니 정말 좋고 편의시설이 주변에 많아서 놀러 가기 편하고 친구들이 많이 놀러 오는 만남의 장소이다.,5,아남아파트는 교통이 좋은 게 걸어서 5분 거리에 혜화역이 있다. 그리고 버스정류장이 3개나 됨으로써 지나가는 버스가 많아서 버스 선택지가 많다 보니깐 배차 간격이 짧을 수밖에 없다. 하지만 출퇴근 시간에는 대학로가 많이 막히는 불편한 점이 있지만 버스전용 차도가 있어서 좀 나은 편이다.,5,아남아파트 단지에 홈플러스가 있고 바로 옆에 카페들과 편의점이 있다. 그래서 필요한 생활용품은 바로 앞에서 구할 수 있어서 좋다. 두 번째로는 혜화동 주민센터와 우체국이 바로 옆에 있어서 개인 용무 처리하기가 편하다.,3,아파트 단지가 넓고 대학로에서 조금 떨어져 있어서 조용하고 좋다. 그래서 항상 지내기가 편하다. 하지만 아파트가 조금 나이가 있어서 인지 집안이 낡은 편이다. 경비아저씨가 각 단지마다 없는 것도 있다. 그게 택배 분실이나 치안상 안 좋아 보인다.,5,바람이 잘 통한다. 왜냐면 주변에 크고 높은 건물들이 있지 않고 적어도 내가 살은 동은 맞은편에 마주 보는 건물이 없어서 바람이 잘 통해서 항상 여름에는 그렇게 덥지가 않았고 에어컨 없이 덥긴 더웠지만 잘 견디어 냈다.
5064,삼성,40대,남자,자가 거주,기혼,5,조용한 분위기를 원하는 분들께 추천합니다. 아이가 없고 직장이 시내입니다. 2년째 거주중인데 불편함 없고 만족도가 큽니다.,4,지하철은 없지만 아파트 단지 바로 앞에 버스 정류장이 있어서 불편함은 크지 않습니다. 직장이 시내인 경우에는 특히 편합니다.,4,마트는 걸어서 15분. 헬스클럽은 걸어서 10분 거리에 있습니다. 길을 건너면 북한산 등산로가 있어서 운동하기 좋습니다. 특히 공기와 조망이 좋습니다.,4,오래된 아파트지만 경비아저씨들이 꼼꼼히 관리합니다. 공용현관도 비밀번호 있어야 하고 외부 차량도 함부로 들어오지 못합니다.,5,"층간 소음은 조금 있는 편이지만, 경관이 뛰어나고 공기가 좋아서 만족스럽습니다. 어린이집도 있습니다."
5064,삼성,30대,남자,자가 거주,기혼,4,1. 산 뷰 2. 조용한 동네 3. 오래 되었지만 잘 관리된 아파트 4. 생각보다 괜찮은 교통 5. 넓은 집 구조 6. 가격대비 높은 만족도,4,"홍제, 광화문, 길음으로 한번에 가는 버스가 있고 내부순환도로가 가까워 교통은 생각보다 좋다. 아파트 바로 앞에 길음쪽으로 가는 버스 정류장이 있다. 다만 대중교통으로 강남으로 가는건 힘들다.",4,사방이 산이고 아파트에서 산 뷰를 즐길 수 있어서 정말 만족스럽다. 주변에 대형 마트가 없는게 단점으로 볼 수 있지만 대신 동네가 한적하고 조용하다.,3,오래된 건물이지만 잘 관리 되어있고 깨끗하다. 하지만 아파트 엘리베이터는 교체가 필요한듯하다.,4,뷰가 좋고 집이 평수대비 넓은것 같다. 산속이라 여름엔 창문을 열어놓으면 시원하지만 저층은 모기 문제가 있을것 같다. 오래된 아파트라 수압이 약하다.
5064,삼성,20대,여자,자가 거주,미혼,4,초중고등학교 모두 통학할만하며 서울에서 보기 드문 자연경관을 볼수있는것이 장점이다. 경복궁역 또는 길음역이 제일 가까운역인데 버스로15~20분이상 나가야하는것이 단점,3,지하철이 없지만 버스정류장이 가깝고 노선이 다양해서 괜찮다. 주차자리도 넉넉하진 않지만 크게 불편하지는 않고 내부순환이 생겨서 강남진입시간이 단축되었음,3,대형마트는 없지만 동네마트가 배달이 빠르고 편리함. 북한산 둘레길도 있지만 그냥 동네가 산길이다보니 산책하기도 좋고 4계절을 모두 느끼기에 좋음,5,경비아저씨와 소장님 그리고 청소해주시는분까지 오래근무하셔서 아파트에 대해 잘 알고 친절하시다. 항상 관리가 잘되고 정돈 된 느낌을 받았다.,4,창이 크게 있어 환기와 햇볕이 잘 든다. 복도소음과 층간소음은 보통.. 관리비는 평균15만원이상 나오고 냉난방에는 어려움이 없었따.
5064,삼성,40대,남자,자가 거주,기혼,5,"마트 가깝고  출퇴근 생각보다 좋으며(그래서 숨겨진 저평가 지역)  공기좋고, 아름답고, 여유로운 분위기  유치원:상명부속, 하나, 세검정, 영어유치원  초교:세검정(공립), 상명부속/매원/영훈 셔틀다님  중:상명여중,청운중  고:경복고, 상명여고  내부순환 이용 너무좋고(신호대기 거의없이 바로진입), 강북선 개통(5분거리)",4,"상차버스정류장 3분거리, 하차버스정류장 15초거리, 버스로 3호선 경복궁역 15~18분, 5호선 광화문역 18~20분, 1/2호선 시청역 20~23분  최근 내부순환램프 신설로 이마트 갈때 15분, 올때 7~8분, 잠실/삼성동 18분, 청담/압구정 18~20분, 여의도 25분  속초 1시간 50분, 교통신호안받고 바로 내부순환으로 고속도로진입가능한 사통팔달  강북선(5분거리) 개통 예정",5,"북악산뷰, 평창동 저택뷰  1시간 50분거리 속초 리조트 다녀오면 집이 더 리조트 같은 산이 바로 테라스 앞(거슬리는 빌라, 아파트 가리는부분 없는 북악산뷰가 바로)  갤러리 미술관, 카페, 둘레길, 등산 등 취미생활 여유",5,"친절한 관리아저씨, 저렴한 관리비(32평형이라고 하나 등기부등본상 38평형이며 상대적 저렴)  지하주차장 네이버부동산 사진과 달리 리모델링 도색 완료해서 관리 잘하고있음  최근 아파트 도색 완료",4,"소음 크지않은편이며 큰길가지만 복도로 막혀 집은 조용함  거실이 30평대가아닌 40평대 거실사이즈임(확장 안해도 넓음, 이유는 108m2사이즈가아니라 122m2사이즈라서 그런듯)"
5064,삼성,40대,남자,전세 또는 월세,기혼,4,"전세 4년 살았던 경험으로서, 매매는 조금 주저되지만 물량만 있으면 전세는 추천한다. 단, 9시 출근 아니고 주변 가까운 곳이 직장인 경우에 해당될 것이다. 그리고 자녀가 장성했거나 또는 아직 초등학교 취학 전인 경우 더욱 적격일 것이다.",4,강북 여러 방향으로 운행하는 노선버스가 오히려(!) 충분하다. 대중교통에서의 유일한 단점은 전철역인 3호선 경복궁역 또는 4호선 미아역의로의 이동에 최소 20분 이상이 소요된다는 점이다. 아침시간에 3호선 경복궁역으로는 30분 이상이 걸린다는 점이 출퇴근하는 사람들에겐 결정적인 단점일 것이다.,5,106동의 경우 거실에서 북악산 전경이 너무나 아름답게 펼쳐진다는 점은 이 곳만의 절대 강점이다. 앞은 비록 꽤 넓은 5차선 도로이나 단지 뒤쪽으로는 참 조용하고 공기도 맑다. 서울 어지간한 도심에서 이만큼 평화로운 곳은 또 없을 듯싶다.,5,낡긴 했지만 관리사무소와 경비실 아저씨들이 아주 성심껏 잘 관리해주신다.,5,"정남향이라 겨울에도 햇볕이 오랫동안 거실 전체에 깊숙이 들어온다. 여름에는 오히려 시원하다. 갓난아이 3년 기르면서 여름 겨울, 한 번도 불편했던 적이 없을 정도로 날씨와는 잘 맞다. 층간소음은 좀 있는 편이다."
5064,삼성,20대,여자,자가 거주,미혼,4,"아무래도 지어진지 꽤 되었다 보니 겉보기에 조금 낡아 보이고, 번화가는 아니어서 조금 나가야 하지만 그만큼 조용하고 교통편도 좋은 편이어서 4점 주었다",4,서울 중심지로 갈 수 있는 버스들이 많아서 편하다(종로/신촌/홍대) 지하철은 길음역이나 경복궁/광화문까지 나가야 이용 가능한 게 단점,3,"버스로 4~5 정거장 걸어선 10~15분 정도 걸어가면 마트(롯데, GS편의점, 홈플러스 마켓) 이용 가능하나 이 마트 같은 대형마트를 이용하려면 은평구나 성북구 쪽으로 나가야 한다",4,"청소도 주기적으로 해주고 공동현관 비밀번호가 있어서 잡상인이 들어오지 못해 안전한 편이다 주차장도 출입카드가 있는 경우는 열리고, 없는 경우(외부인)는 들어갈 수 없고 경비인이 확인하고 열어준다 택배는 집에 사람이 없는 경우는 경비실에서 맡겨줘서 잃어버린 적은 없다",4,"북한산 아래라 공기도 좋고, 번화가가 아니라서 조용하다"
5064,삼성,40대,여자,자가 거주,미혼,5,가까이에 슈퍼마켓 음식점 등도 있고 산도 있고 공원도 있어 주변 환경에 매우 만족합니다. 주변 아파트에 비해 가격이 매우 저렴하고 출퇴근이 편해 추천합니다. 내부시설도 살만하고 층간 소음이 없어 추천합니다.,3,버스정류장이 약 3분 ~ 5분 사이로 매우 가까워서 출퇴근이 편리합니다. 하지만 경복궁 쪽으로 차가 매우 막혀 자가용 이용에 불편함이 있고 사고 잦게 일어납니다.,4,"주변에 공원이 가까이 있어 가족과 함께 산책할 수 있고, 편의점과 슈퍼마켓 등 작은 마트가 주위에 많아 편리합니다 또한 주위에 근처에 산이 있어 맑은 공기를 마실 수 있고 음식점도 가까이 있는 편입니다",5,관리비도 다른 아파트에 비해 매우 저렴하고 택배는 경비실에 맡게 되어 분실 위험도 없고 안전합니다 주차장 이용도 매우 편리해서 좋습니다,5,"난방시설이 자주 고장 나 불편함을 느낀다. 하지만 하루 종일 베란다를 열으먄 햇빛이 잘 들어와, 겨울에는 난방을 덜 할 수 있어 편리하다. 층간 소음이 거의 없어 이용함에 불편함이 없다."
5064,삼성,20대,여자,자가 거주,미혼,3,차 있으면 살기 편함. 층간소음 약간 있음. 대형마트 접근성은 떨어짐. 버스정류장이 단지 바로 앞에 있어서 편리합니다.,3,버스정류장 5분 거리 3호선 4호선 버스로 1520분 거리,3,조용하고 깨끗함. 마트나 편의점이 10분 거리. 대형마트 버스 3 정거장 거리로 불편합니다.,4,깨끗하고 분리수거도 경비 아저씨가 도와줘서 깨끗합니다. 택배를 잃어버린 적은 없고 경비아저씨가 단지가 2개 동밖에 없다 보니 얼굴을 다 외워요. 공용현관 비밀번호가 있지만 지하주차장에서는 비밀번호 없이 들어갈 수 있어서 약간 불안하지만 사고 있었던 적은 없음.,4,층간소음 약간 있고 난방은 빌라보다 훨씬 싸고 금방 따뜻해지고 바로 뒤에 산이라 창문 열면 시원하다
2815,무악현대,30대,여자,자가 거주,기혼,5,떠나기 싫은 아파트. 실제로 입주민들은 같은 단지 내에서 이사를 한다.(20평에서 30평대로),5,"정문은 독립문역 지하철이 있고 , 후문에는 종로5번 마을버스가 있다. 자차로 이동하면 출퇴근시간에 좀 막힌다",5,독립문역 공원 조성이 잘되어잇고 정문에 마트가 있다. 영천시장으로가면 살게 더 많다. 3만원 이상은 배송해준다,5,"경비원 분들이 너무 젠틀하고 좋으시고, 아파트가 관리가 잘되며, 시스템이 안정적이다. 다만 분리수거 쓰레기 버리는 날이 주에 하루인데 이틀이엇으면 좋겟다",5,언덕에 있어 일조량이 좋으며 층간소음은 그냥 옆집 윗집에도 누군가 사는구나 하는 정도의 소리가 가끔 들린다.
2815,무악현대,40대,여자,전세 또는 월세,기혼,5,공원이 바로 앞이고 교통도 좋고 조경도 좋고 어디하나 나쁜게 없다. 단지 아파트가 좀 오래되어 생활소음이 좀 있는 편이지만 이해해줄만하다. 살기 편하다,5,4대문 접근성이 너무 좋다. 교통이 좋아서 웬만한 버스는 다 있다. 지하철 3호선이긴 하지만 서대문역까지 걷기도 멀지않아 지하철도 좋다,4,대형마트가 가까이에 없어서 좀 제한적이지만 아파트 상가 내 마트도 나쁘지 않고 조금만 걸어가면 영천시장이라 불편한 점은 크게 없다,5,항상 경비원분들이 깨끗하게 관리해주고 있어서 좋다. 아무나 들어올 수 없게 공용현관 비밀번호도 지정되어 있어 안전하다,4,오래된 아파트라 약간의 생활소음은 감수해야 한다. 특히 화장실쪽 소음은 물내려가는 소리가 꽤 들린다. 저층이지만 햇빛이 잘 들어오는 편이다.
2815,무악현대,50대,여자,전세 또는 월세,기혼,5,시장도 공원도 가깝고 인왕산또한 아파트뒤에 위치하고 버스전철 바로앞 가격또한 서울시내 치곤 저렴~ 오래된 관계로 수리만한다면 거주하는데는 문제없을듯,5,신촌 종로 강남 서울역 어디든 버스다있구 전철도 버스정류장  아파트바로앞 교통은 최곱니다  어디든 출퇴근 문제없습니다,4,외식할수있는곳이 한정되어있지만 영천시장과 시장앞 경희궁자이 상가쪽에 이것저것있어 그리불편하지 않습니다,5,경비아저씨께서 거의 상주해 주시구 년수많큼 녹지도 잘되어 있습니다 단지내 초등학교도있구 유치원도 있습니다,4,오래되서 수리가좀 필요하구 에어컨시래기가 안에 들어와있어야하는 불편 엘베는 새로교체 럭셔리~
2815,무악현대,40대,남자,자가 거주,기혼,3,근처에서 유일하게 아파트안에 초등학교가 있으니 저학년아이가 있다면 추천  지하철.버스노선이 다양하니 출퇴근이 편리하니 맞벌이직장인들에게 추천,5,교통은 짱~  검색해보면 안가는 버스가 없음  단지 흠이라면홍제동으로 가는방향으로 버스정류장이 너무 멀리있다는거..ㅜㅜ,3,언덕배기에 있어서 아이들 자전거 또는 인라인은 위험함...  하지만 독립문공원이 길 맞은편에 있어서 산책하기좋음,4,경비원님들이 친절하시며  재활용시 각동에서 가까운곳에 위치해있어 편하다.  얼마전에 엘베 새것으로 교체하여 아주 럭셔리함,3,다른건 일반적이라 특별할건 없고  에어컨 실외기가 꼭 베란다 인쪽으로 설치를 해야해서 여름에 창문을 열었다 닫았다...ㅜㅜ  베란다안쪽은 찜통....  저층은 도둑들다 무서워 꼭 창문확인해야함
2815,무악현대,40대,여자,자가 거주,기혼,5,입구에서 가까운 30평대 앞에 가리는게 없어 일조권 좋고 남산뷰입니다 후문에서 산책로로 광화문 시청 걸어갈수있고 사통팔달 지하철 코앞이라 교통여건 최상 동간격과 주위환경 고려시 아직도 한참 저평가된 아파트입니다,5,사통팔달 3호선 코앞 공항버스 비롯 시내 모든 지역 버스,5,독립문공원 인왕산성곽길 안산자락길  부암동까지 30~40분 산책거리 첨단시설의 종로체육문화센타 도보로 10분거리,4,넉넉한 지하 연결된 주차공간 소독 수목 관리상태 양호 최근 엘리베이터 교쳬중,5,110동은 가리는 건물 없고 앞뒤가 개방되어 통풍도 잘되며 남산타워뷰라 위치는 절대만족
2815,무악현대,40대,여자,전세 또는 월세,기혼,1,추천하고 싶지 않습니다  최근 아파트 가격이 급등하였는데  거품임에 틀림없습니다  매수하실분들 주의요함,4,독립문역까지 3~10분거리에 위치하여 편리하나  언덕배기라서 올라갈때 무척 힘이 듭니다  도심까지 버스 많은 편임,3,편의시설 절대부족합니다  단지뒤편으로 산이 있어서 산책하기에 좋습니다,3,구형아파트라 방범이나 경비방식이 뒤떨어져  있읍니다  관리사무소 직원이나 경비아저씨들은  착하십니다,3,25평형 구형이라 살기 매우 불편  비가 오면 엘리베이터에 물이 들어가 멈춰서기  일쑤고  32평형 지하주차장 누수로 항상 습기차 있음
2815,무악현대,40대,여자,전세 또는 월세,기혼,4,"주변 교통(지하철,버스,자전거따릉이)이 편리하고 교육시설(초중고)이 좋다. 마트도 있어서 좋다. 하지만 오래된 아파트라서 층간소음이 좀 있다. 하지만 주변 다른 아파트보다는 싼편이다.",4,"지하철(독립문역)과 버스정류장이 도보 2~5분 거리에 위치해 있고, 버스도 마을버스 부터 파란버스까지 다양해서 출퇴근도 편리하다. 다만 시내라서 약간 차가 막힌다. 그래서 대중교통을 추천한다.",5,"도보로 3~7분 거리에 독립문공원이 위치해 있고, 마을버스로는 성곽길과 사직공원으로 연결된다. 마트도 가까운곳에 위치해 있고 편의점도 꽤 기깝지만 많진 않다.",4,"현관에 비밀번호가 있고,(비밀번호 또는 카드없이는 못들어감) 경비아저씨도 매우 친절하시다. 또한 주차장도 꽤 넓어서 좋다.",3,단지 마다 다르지만 배란다가 좀 좁은 편이고 거실도 좀 좁다. 하지만 아담한 만큼 좋다. 요새 아파트가 아니라서 층간소음도 변변찮게 있다.
2815,무악현대,20대,여자,전세 또는 월세,미혼,4,종로로 나가는 길목에 있어 여기저기 가기 교통이 편하고 살기 좋다. 하지만 돈이 있다면 새로 지어진 자이 아파트가 더 좋을것이다.,5,"버스, 지하철 바로 앞에 있으나 은평구에서 시내로 나가는 통로라서 자가용은 항상 막힌다.",4,"종로, 신촌 모두 가깝다. 자이 아파트 들어오면서 편의시설도 많이 생기는중임.",5,주차장은 매우 넉넉해서 차세우기 좋다. 출입통제 같은 경우에는 외부인 차량을 경비원 아저씨께서 확인해주신다.,3,오래된 아파트라 그런지 겨울에 춥다. 층간 소음이 있다.
